Role,Company,Skills
Stellar AI Senior Software Engineer {,Stellar AI,Train
BIS Safety Software Marketing Copywriter [,BIS Safety Software,"Copywriter, SaaS, System"
Marketers in Demand Web Development Specialist [,Marketers in Demand,Web Developer
Sanctuary Computer Senior Frontend Developer [,Sanctuary Computer,"Engineer, Senior, Front End"
Veeam Software Sr Account Executive Commercial Accounts [,Veeam Software,"Security, Leader, Go"
Lemon.io Senior Full stack React Developer {,Lemon.io,"JavaScript, React, Node"
Octo Horizon Software Engineer C [,Octo Horizon,"Engineer, Technical, Cloud"
Sticker Mule Software engineer [,Sticker Mule,"Engineer, Docker, Redis"
AMK Solutions Senior Full Stack Engineer [,AMK Solutions,
Headway Senior React Native Developer {,Headway,"Engineer, Mobile, JavaScript"
Veeam Software Senior Sales Systems Engineer [,Veeam Software,"Security, Technical, Leader"
Veeam Software Senior Sales Engineer Data & AI Security [,Veeam Software,"Security, Leader, Senior"
Veeam Software Sales Systems Engineer [,Veeam Software,"Technical, Leader, Sales"
Veeam Software Product & Application Security Engineer [,Veeam Software,"Security, Leader, Senior"
Lucid Software Regulatory & Product Counsel [,Lucid Software,"Software, Cloud, Leader"
Veeam Software Senior Director Customer Success Product Portfolio Management [,Veeam Software,"Director, Leader, Management"
Veeam Software Senior Staff Platform Engineer [,Veeam Software,"Design, Cloud, Microsoft"
Veeam Software Senior Solution Architect GSI [,Veeam Software,"Architect, Leader, Senior"
Veeam Software ML AI Ops Engineer [,Veeam Software,"Leader, Go, Engineer"
Veeam Software Senior Data Science Engineer [,Veeam Software,"Leader, Senior, Go"
Veeam Software Lead Account Executive Enterprise Sales [,Veeam Software,"Leader, Lead, Sales"
Veeam Software Senior Systems Engineer [,Veeam Software,"Leader, Senior, Sales"
Banyan Software Director of Payments U.S. Canada [,Banyan Software,"Director, Design, Embedded"
Veeam Software Global Compensation COE Director [,Veeam Software,"Director, Leader, Go"
Veeam Software Inside Partner Manager EST [,Veeam Software,"Manager, Leader, Go"
Veeam Software Strategic Account Manager [,Veeam Software,"Manager, Leader, Go"
Housecall Pro Senior Staff Ruby on Rails Engineer [,Housecall Pro,"Ruby, Backend"
Cloak Aztec smart contracts and Javascript front end dev [,Cloak,Engineer
NTD software FullStack Engineer [,NTD software,"Design, React, Front End"
CSC Generation Lead Software Engineer [,CSC Generation,"Software, Design, Django"
Civitech Analytics Engineer [,Civitech,"Support, Code, Cloud"
Valon Mortgage Senior Data Engineer [,Valon Mortgage,"Design, SaaS, Architect"
Extend Principal Data Engineer [,Extend,"Design, Technical, Financial"
Invisible Agency 3D Modeling & Python Specialist Freelance AI Trainer Project [,Invisible Agency,"3d, Trainer, Training"
"Chime Financial, Inc Data Governance Engineer [","Chime Financial, Inc","Technical, Developer, Code"
Affirm Software Engineer II Backend [,Affirm,"Software, Design, Technical"
Pivotal Health Data Engineer [,Pivotal Health,"Design, Salesforce, Technical"
Amigo Applied AI Engineer Europe [,Amigo,"System, Technical, Support"
Foundation EGI Senior CAD Backend Engineer Mechanical CAD Automation [,Foundation EGI,"Design, 3d, Senior"
